,business_id,name,type,city,fulladdress,state,stars,Weighted_stars,userreviewcount,Business_ReviewCount,pricerange,waiterservice,wheelchairaccessible,hastv,alcohol,takeout,attire,goodforkids,goodfordancing,goodforgroups,parking,goodforfood,ambience,music
1,59631,1197,4,15,2052,4,4,3,2,600,1,2,1,3,4,3,1,3,1,2,0,0,0,0
2,61223,4586,4,72,3131,4,6,3,1,431,1,2,3,2,4,3,1,3,1,2,0,0,0,0
3,36745,3316,4,113,1024,6,5,3,30,577,2,3,3,3,3,3,1,3,1,3,1,2,1,0
4,34335,2070,4,114,1545,5,9,4,3,356,1,2,1,2,4,3,1,3,1,3,0,0,0,0
5,42302,896,4,7,5004,5,5,1,3,600,1,2,1,2,4,3,1,3,1,3,0,0,0,0
6,72503,4465,4,85,2036,5,4,3,8,157,1,3,1,2,4,3,1,3,1,3,1,1,0,0
7,64599,858,4,85,5161,5,5,3,7,70,1,3,1,2,4,3,1,3,1,2,1,1,0,0
8,67806,1812,4,85,2338,5,5,1,1,258,1,1,1,1,2,3,2,1,1,1,0,0,0,0
9,74558,3176,4,85,6064,5,4,3,1,431,1,1,1,1,2,3,2,1,1,1,0,0,0,0
10,42242,2071,4,85,2070,9,4,3,2,571,2,2,1,2,4,3,1,2,1,2,0,2,1,0
11,62569,900,4,85,5115,9,7,3,4,37,1,1,1,2,2,3,1,3,1,2,0,0,0,0
12,12244,1827,4,85,2777,5,4,2,2,600,2,2,1,2,4,3,2,3,1,3,0,0,0,0
13,30771,2564,4,85,6562,5,2,1,3,539,1,1,1,1,1,3,1,3,1,3,0,0,0,0
14,4066,1629,4,85,4599,5,4,3,3,170,1,2,1,2,4,3,1,2,1,2,1,0,0,0
15,39964,864,4,85,4078,4,7,2,1,81,1,2,1,2,4,3,1,3,1,3,1,1,1,0
16,60597,4752,4,85,6560,4,7,4,3,600,2,1,1,3,4,3,1,3,1,3,1,2,0,0
17,31962,4014,4,85,5575,4,7,3,11,388,2,3,2,3,3,3,1,3,1,3,1,2,1,0
18,66855,859,4,85,1057,4,4,2,8,108,2,3,1,2,3,3,1,3,1,3,1,1,1,0
19,53428,884,4,85,4689,4,5,2,20,546,2,3,3,3,3,3,1,3,1,3,1,1,1,0
